Income,EconomicOrientation,PaidMembership,Satisfaction,PurchaseFreq,SOW,Revenue
66000,4,1,0.34,4.0,0.05,5000
58000,4,0,0.1,2.0,0.4,11000
68000,3,1,0.9,2.0,0.1,12000
51000,4,0,0.52,0.0,0.0,0
57000,3,1,0.53,2.0,0.15,17000
37000,2,0,0.44,3.0,0.05,6000
87000,4,1,0.44,2.0,0.2,9000
37000,2,0,0.63,0.0,0.0,0
30000,2,0,0.39,2.0,0.1,5000
74000,4,0,0.35,4.0,0.15,10000
18000,1,0,0.51,0.0,0.0,0
79000,4,1,0.74,5.0,0.2,6000
87000,4,1,0.49,3.0,0.2,7000
37000,2,1,0.6,6.0,0.05,7000
91000,4,0,0.37,0.0,0.0,0
92000,4,1,0.91,6.0,0.3,12000
55000,4,0,0.37,3.0,0.2,6000
19000,2,0,0.43,4.0,0.05,10000
49000,2,1,0.61,3.0,0.15,6000
33000,3,0,0.24,5.0,0.1,5000
31000,3,0,0.91,5.0,0.25,6000
52000,3,0,0.4,4.0,0.15,6000
48000,2,1,0.93,3.0,0.1,5000
30000,1,0,0.35,0.0,0.0,0
95000,5,1,0.66,4.0,0.25,8000
62000,3,1,0.86,3.0,0.2,7000
30000,2,0,0.37,3.0,0.05,7000
98000,5,1,0.91,7.0,0.6,18000
97000,4,1,0.79,3.0,0.1,5000
25000,2,0,0.39,0.0,0.0,0
39000,3,0,0.25,0.0,0.0,0
43000,3,0,0.14,0.0,0.0,0
67000,4,1,0.8,4.0,0.3,11000
89000,4,1,0.82,4.0,0.15,10000
79000,4,0,0.23,6.0,0.15,5000
27000,2,0,0.13,6.0,0.1,5000
24000,1,0,0.39,0.0,0.0,0
26000,2,1,0.47,4.0,0.15,12000
41000,3,0,0.5,1.0,0.15,2000
89000,4,1,0.69,5.0,0.25,15000
43000,3,0,0.39,2.0,0.15,10000
94000,4,1,0.49,3.0,0.25,17000
85000,4,1,0.81,5.0,0.2,10000
47000,3,1,0.63,4.0,0.1,10000
20000,2,0,0.27,3.0,0.1,4000
24000,1,0,0.48,4.0,0.15,4000
56000,4,1,0.82,4.0,0.25,8000
52000,2,0,0.46,3.0,0.1,8000
25000,1,0,0.15,0.0,0.0,0
88000,4,1,0.64,4.0,0.3,9000
22000,1,0,0.26,0.0,0.0,0
83000,4,1,0.71,5.0,0.3,7000
53000,4,0,0.11,2.0,0.05,5000
20000,1,0,0.92,2.0,0.15,4000
19000,2,0,0.34,3.0,0.1,7000
97000,4,1,0.69,2.0,0.25,6000
92000,5,0,0.27,5.0,0.2,5000
89000,4,1,0.92,2.0,0.4,18000
93000,4,1,0.71,5.0,0.1,7000
37000,2,0,0.37,3.0,0.05,7000
60000,4,0,0.5,2.0,0.2,9000
87000,4,1,0.93,3.0,0.25,6000
50000,2,0,0.4,0.0,0.0,0
22000,1,0,0.44,2.0,0.05,6000
65000,3,0,0.26,4.0,0.1,3000
76000,3,1,0.98,6.0,0.25,8000
80000,4,1,0.61,5.0,0.25,14000
67000,4,1,0.55,4.0,0.15,16000
28000,2,0,0.22,3.0,0.05,8000
54000,3,0,0.29,5.0,0.2,15000
98000,4,1,0.93,6.0,0.3,13000
35000,2,0,0.47,1.0,0.15,10000
16000,0,0,0.23,4.0,0.05,9000
83000,5,1,0.68,5.0,0.2,17000
32000,3,0,0.23,4.0,0.1,5000
60000,4,0,0.31,4.0,0.2,10000
89000,5,1,0.66,5.0,0.15,16000
21000,2,0,0.54,3.0,0.2,10000
76000,4,0,0.6,6.0,0.3,6000
78000,4,0,0.15,3.0,0.1,6000
42000,3,0,0.64,2.0,0.1,4000
66000,3,1,0.65,2.0,0.15,8000
96000,4,1,0.6,4.0,0.05,9000
35000,2,0,0.28,4.0,0.05,10000
99000,5,1,0.59,3.0,0.25,10000
24000,1,0,0.43,4.0,0.05,4000
28000,2,0,0.45,0.0,0.0,0
66000,4,1,0.67,3.0,0.1,9000
98000,4,1,0.81,2.0,0.15,8000
29000,3,0,0.65,0.0,0.0,0
46000,3,0,0.42,3.0,0.1,5000
99000,5,1,0.7,4.0,0.2,13000
88000,4,1,0.55,3.0,0.15,7000
67000,4,0,0.31,4.0,0.15,3000
76000,3,1,0.87,4.0,0.2,13000
74000,3,1,0.73,4.0,0.25,5000
82000,3,1,0.63,5.0,0.2,12000
68000,4,0,0.75,4.0,0.15,5000
95000,4,1,0.24,3.0,0.2,13000
44000,3,0,0.25,3.0,0.15,2000
22000,1,0,0.15,0.0,0.0,0
35000,2,0,0.23,3.0,0.05,4000
80000,5,1,0.72,4.0,0.9,15000
57000,3,1,0.6,5.0,0.25,12000
22000,1,0,0.06,3.0,0.0,5000
74000,3,0,0.79,5.0,0.15,7000
73000,4,0,0.43,0.0,0.0,0
46000,3,0,0.56,1.0,0.15,9000
56000,2,1,0.74,2.0,0.1,10000
91000,5,1,0.7,5.0,0.15,9000
48000,3,1,0.65,5.0,0.35,12000
68000,3,0,0.17,4.0,0.2,14000
73000,4,1,0.67,4.0,0.15,6000
34000,2,0,0.44,5.0,0.1,8000
66000,4,1,0.7,5.0,0.1,10000
72000,4,0,0.23,0.0,0.0,0
18000,0,0,0.78,3.0,0.1,12000
36000,1,1,0.76,4.0,0.1,11000
90000,3,0,0.13,1.0,0.05,6000
22000,1,0,0.1,0.0,0.0,0
89000,3,1,0.82,5.0,0.2,6000
95000,5,1,0.45,6.0,0.25,10000
66000,4,0,0.25,2.0,0.05,6000
91000,4,1,0.73,5.0,0.15,6000
45000,2,0,0.47,4.0,0.1,5000
65000,4,0,0.32,2.0,0.2,8000
88000,3,1,0.88,5.0,0.15,11000
95000,4,1,0.14,4.0,0.15,5000
64000,4,1,0.83,4.0,0.4,16000
67000,3,0,0.41,0.0,0.0,0
63000,3,1,0.41,2.0,0.2,18000
69000,4,1,0.28,5.0,0.05,7000
81000,5,1,0.68,4.0,0.15,7000
61000,3,1,0.81,5.0,0.15,11000
19000,1,0,0.49,1.0,0.05,4000
61000,3,0,0.15,1.0,0.1,4000
85000,4,1,0.05,4.0,0.1,9000
65000,3,0,0.2,1.0,0.1,2000
77000,4,1,0.57,5.0,0.2,11000
97000,3,1,0.17,2.0,0.1,9000
53000,3,1,0.58,3.0,0.4,6000
27000,2,0,0.48,0.0,0.0,0
24000,1,0,0.21,0.0,0.0,0
28000,2,0,0.37,1.0,0.15,8000
24000,1,0,0.26,1.0,0.05,3000
83000,4,1,0.64,5.0,0.15,18000
35000,2,0,0.39,0.0,0.0,0
36000,3,0,0.89,1.0,0.1,6000
69000,4,1,0.66,4.0,0.15,10000
34000,3,1,0.67,3.0,0.1,8000
35000,1,0,0.23,1.0,0.05,3000
87000,4,1,0.83,5.0,0.3,13000
77000,4,0,0.25,0.0,0.0,0
72000,4,1,0.85,6.0,0.15,8000
99000,4,1,0.66,3.0,0.4,9000
37000,3,0,0.43,5.0,0.1,6000
49000,2,1,0.73,3.0,0.15,9000
69000,3,1,0.62,4.0,0.15,16000
28000,1,0,0.46,2.0,0.05,6000
87000,4,1,0.61,3.0,0.15,9000
41000,3,0,0.22,0.0,0.0,0
89000,5,1,0.85,3.0,0.25,6000
77000,4,0,0.2,5.0,0.15,4000
69000,3,1,0.8,5.0,0.2,6000
